taille;desordre;typeDesordre;algo;accesses;comparisons;swaps;timeNano
100;0;1;CountingSort;301;0;0;20420
100;0;1;QuickSort;2770;1093;495;207211
100;0;1;InsertionSort;297;99;0;28490
100;0;1;BubbleSort;198;99;0;14881
100;0;1;MergeSort;1344;356;0;101170
100;0;1;CountingSort;301;0;0;16340
100;0;1;QuickSort;2343;867;427;123570
100;0;1;InsertionSort;297;99;0;9810
100;0;1;BubbleSort;198;99;0;12620
100;0;1;MergeSort;1344;356;0;86700
100;0;1;CountingSort;301;0;0;16691
100;0;1;QuickSort;2747;1049;500;98930
100;0;1;InsertionSort;297;99;0;10170
100;0;1;BubbleSort;198;99;0;11040
100;0;1;MergeSort;1344;356;0;100110
100;0;1;CountingSort;301;0;0;14630
100;0;1;QuickSort;2419;943;426;76240
100;0;1;InsertionSort;297;99;0;9870
100;0;1;BubbleSort;198;99;0;5850
100;0;1;MergeSort;1344;356;0;121960
100;0;1;CountingSort;301;0;0;15270
100;0;1;QuickSort;2285;872;409;97230
100;0;1;InsertionSort;297;99;0;8230
100;0;1;BubbleSort;198;99;0;8770
100;0;1;MergeSort;1344;356;0;35640
100;0;1;CountingSort;301;0;0;12950
100;0;1;QuickSort;2230;853;393;118160
100;0;1;InsertionSort;297;99;0;7920
100;0;1;BubbleSort;198;99;0;12980
100;0;1;MergeSort;1344;356;0;19010
100;0;1;CountingSort;301;0;0;15010
100;0;1;QuickSort;2597;983;469;70090
100;0;1;InsertionSort;297;99;0;15610
100;0;1;BubbleSort;198;99;0;7960
100;0;1;MergeSort;1344;356;0;17000
100;0;1;CountingSort;301;0;0;12930
100;0;1;QuickSort;2651;1037;472;24700
100;0;1;InsertionSort;297;99;0;9540
100;0;1;BubbleSort;198;99;0;9840
100;0;1;MergeSort;1344;356;0;18020
100;0;1;CountingSort;301;0;0;14310
100;0;1;QuickSort;2895;1059;544;33290
100;0;1;InsertionSort;297;99;0;10690
100;0;1;BubbleSort;198;99;0;10930
100;0;1;MergeSort;1344;356;0;30380
100;0;1;CountingSort;301;0;0;14300
100;0;1;QuickSort;2624;1088;443;28650
100;0;1;InsertionSort;297;99;0;8030
100;0;1;BubbleSort;198;99;0;9770
100;0;1;MergeSort;1344;356;0;20540
100;0;1;CountingSort;301;0;0;13150
100;0;1;QuickSort;2734;1009;511;11160
100;0;1;InsertionSort;297;99;0;12710
100;0;1;BubbleSort;198;99;0;11240
100;0;1;MergeSort;1344;356;0;22630
100;0;1;CountingSort;301;0;0;14650
100;0;1;QuickSort;2367;873;429;12570
100;0;1;InsertionSort;297;99;0;7930
100;0;1;BubbleSort;198;99;0;9890
100;0;1;MergeSort;1344;356;0;14060
100;0;1;CountingSort;301;0;0;13220
100;0;1;QuickSort;2267;857;405;19080
100;0;1;InsertionSort;297;99;0;9610
100;0;1;BubbleSort;198;99;0;8020
100;0;1;MergeSort;1344;356;0;28570
100;0;1;CountingSort;301;0;0;12880
100;0;1;QuickSort;2842;1063;527;14260
100;0;1;InsertionSort;297;99;0;10070
100;0;1;BubbleSort;198;99;0;8560
100;0;1;MergeSort;1344;356;0;20400
100;0;1;CountingSort;301;0;0;11940
100;0;1;QuickSort;2677;1024;484;27720
100;0;1;InsertionSort;297;99;0;7881
100;0;1;BubbleSort;198;99;0;7360
100;0;1;MergeSort;1344;356;0;26090
100;0;1;CountingSort;301;0;0;15420
100;0;1;QuickSort;2848;1240;469;10920
100;0;1;InsertionSort;297;99;0;9900
100;0;1;BubbleSort;198;99;0;9520
100;0;1;MergeSort;1344;356;0;14000
100;0;1;CountingSort;301;0;0;15330
100;0;1;QuickSort;2811;1035;522;9200
100;0;1;InsertionSort;297;99;0;10920
