taille;desordre;typeDesordre;algo;accesses;comparisons;swaps;timeNano
1000;0;1;CountingSort;3001;0;0;213680
1000;0;1;QuickSort;42506;17534;7666;1226733
1000;0;1;InsertionSort;2997;999;0;194641
1000;0;1;BubbleSort;1998;999;0;135381
1000;0;1;MergeSort;19952;5044;0;761733
1000;0;1;CountingSort;3001;0;0;85240
1000;0;1;QuickSort;39412;16762;6875;160110
1000;0;1;InsertionSort;2997;999;0;99750
1000;0;1;BubbleSort;1998;999;0;81270
1000;0;1;MergeSort;19952;5044;0;112041
1000;0;1;CountingSort;3001;0;0;124600
1000;0;1;QuickSort;43319;18011;7778;226520
1000;0;1;InsertionSort;2997;999;0;81620
1000;0;1;BubbleSort;1998;999;0;63510
1000;0;1;MergeSort;19952;5044;0;95210
1000;0;1;CountingSort;3001;0;0;105971
1000;0;1;QuickSort;36354;15012;6464;162570
1000;0;1;InsertionSort;2997;999;0;92310
1000;0;1;BubbleSort;1998;999;0;80560
1000;0;1;MergeSort;19952;5044;0;104621
1000;0;1;CountingSort;3001;0;0;138190
1000;0;1;QuickSort;37912;16237;6554;224680
1000;0;1;InsertionSort;2997;999;0;101810
1000;0;1;BubbleSort;1998;999;0;76700
1000;0;1;MergeSort;19952;5044;0;111541
1000;0;1;CountingSort;3001;0;0;128610
1000;0;1;QuickSort;36014;15461;6188;243201
1000;0;1;InsertionSort;2997;999;0;105091
1000;0;1;BubbleSort;1998;999;0;52910
1000;0;1;MergeSort;19952;5044;0;90881
1000;0;1;CountingSort;3001;0;0;159211
1000;0;1;QuickSort;38856;16254;6865;199821
1000;0;1;InsertionSort;2997;999;0;87811
1000;0;1;BubbleSort;1998;999;0;81941
1000;0;1;MergeSort;19952;5044;0;90350
1000;0;1;CountingSort;3001;0;0;113941
1000;0;1;QuickSort;36950;15230;6571;127981
1000;0;1;InsertionSort;2997;999;0;101751
1000;0;1;BubbleSort;1998;999;0;54501
1000;0;1;MergeSort;19952;5044;0;130350
1000;0;1;CountingSort;3001;0;0;150741
1000;0;1;QuickSort;36113;15155;6329;626562
1000;0;1;InsertionSort;2997;999;0;78571
1000;0;1;BubbleSort;1998;999;0;67961
1000;0;1;MergeSort;19952;5044;0;90580
1000;0;1;CountingSort;3001;0;0;99600
1000;0;1;QuickSort;40141;16987;7063;676732
1000;0;1;InsertionSort;2997;999;0;134251
1000;0;1;BubbleSort;1998;999;0;78551
1000;0;1;MergeSort;19952;5044;0;91091
1000;0;1;CountingSort;3001;0;0;108260
1000;0;1;QuickSort;39190;15976;7077;849013
1000;0;1;InsertionSort;2997;999;0;87980
1000;0;1;BubbleSort;1998;999;0;111721
1000;0;1;MergeSort;19952;5044;0;79371
1000;0;1;CountingSort;3001;0;0;113460
1000;0;1;QuickSort;37125;15876;6409;221341
1000;0;1;InsertionSort;2997;999;0;96900
1000;0;1;BubbleSort;1998;999;0;98911
1000;0;1;MergeSort;19952;5044;0;66690
1000;0;1;CountingSort;3001;0;0;155090
1000;0;1;QuickSort;41698;17542;7392;104160
1000;0;1;InsertionSort;2997;999;0;121420
1000;0;1;BubbleSort;1998;999;0;92700
1000;0;1;MergeSort;19952;5044;0;93110
1000;0;1;CountingSort;3001;0;0;163591
1000;0;1;QuickSort;33511;14629;5626;76530
1000;0;1;InsertionSort;2997;999;0;138041
1000;0;1;BubbleSort;1998;999;0;109021
1000;0;1;MergeSort;19952;5044;0;117660
1000;0;1;CountingSort;3001;0;0;88810
1000;0;1;QuickSort;36996;15705;6437;44940
1000;0;1;InsertionSort;2997;999;0;99350
1000;0;1;BubbleSort;1998;999;0;86920
1000;0;1;MergeSort;19952;5044;0;62511
1000;0;1;CountingSort;3001;0;0;164450
1000;0;1;QuickSort;36892;15379;6504;34770
1000;0;1;InsertionSort;2997;999;0;108660
1000;0;1;BubbleSort;1998;999;0;58810
1000;0;1;MergeSort;19952;5044;0;107991
1000;0;1;CountingSort;3001;0;0;52860
1000;0;1;QuickSort;40233;16557;7217;46930
1000;0;1;InsertionSort;2997;999;0;105020
