taille;desordre;typeDesordre;algo;accesses;comparisons;swaps;timeNano
50000;0;1;CountingSort;150001;0;0;4562936
50000;0;1;QuickSort;3518827;1578529;613421;13285597
50000;0;1;InsertionSort;149997;49999;0;4701587
50000;0;1;BubbleSort;99998;49999;0;2915113
50000;0;1;MergeSort;1568928;401952;0;12238748
50000;0;1;CountingSort;150001;0;0;841437
50000;0;1;QuickSort;3159203;1444511;538320;7644601
50000;0;1;InsertionSort;149997;49999;0;2508791
50000;0;1;BubbleSort;99998;49999;0;2268998
50000;0;1;MergeSort;1568928;401952;0;4986300
50000;0;1;CountingSort;150001;0;0;2713241
50000;0;1;QuickSort;2997652;1364911;510891;4502706
50000;0;1;InsertionSort;149997;49999;0;1852525
50000;0;1;BubbleSort;99998;49999;0;1754974
50000;0;1;MergeSort;1568928;401952;0;4276464
50000;0;1;CountingSort;150001;0;0;2380889
50000;0;1;QuickSort;3116250;1386909;543090;2652381
50000;0;1;InsertionSort;149997;49999;0;2025066
50000;0;1;BubbleSort;99998;49999;0;1471611
50000;0;1;MergeSort;1568928;401952;0;3168446
50000;0;1;CountingSort;150001;0;0;331073
50000;0;1;QuickSort;3052434;1428930;507861;2245588
50000;0;1;InsertionSort;149997;49999;0;746726
50000;0;1;BubbleSort;99998;49999;0;223992
50000;0;1;MergeSort;1568928;401952;0;3532879
50000;0;1;CountingSort;150001;0;0;244112
50000;0;1;QuickSort;3121628;1410449;537076;3468268
50000;0;1;InsertionSort;149997;49999;0;385433
50000;0;1;BubbleSort;99998;49999;0;482324
50000;0;1;MergeSort;1568928;401952;0;3261946
50000;0;1;CountingSort;150001;0;0;261542
50000;0;1;QuickSort;3044671;1384336;520106;1960475
50000;0;1;InsertionSort;149997;49999;0;25020
50000;0;1;BubbleSort;99998;49999;0;30281
50000;0;1;MergeSort;1568928;401952;0;3311796
50000;0;1;CountingSort;150001;0;0;330853
50000;0;1;QuickSort;3011300;1345334;522028;2310708
50000;0;1;InsertionSort;149997;49999;0;21000
50000;0;1;BubbleSort;99998;49999;0;17391
50000;0;1;MergeSort;1568928;401952;0;3715110
50000;0;1;CountingSort;150001;0;0;1143339
50000;0;1;QuickSort;3025073;1353083;523981;3297237
50000;0;1;InsertionSort;149997;49999;0;30621
50000;0;1;BubbleSort;99998;49999;0;26990
50000;0;1;MergeSort;1568928;401952;0;4124033
50000;0;1;CountingSort;150001;0;0;421143
50000;0;1;QuickSort;3007878;1381137;508876;2383649
50000;0;1;InsertionSort;149997;49999;0;16770
50000;0;1;BubbleSort;99998;49999;0;19591
50000;0;1;MergeSort;1568928;401952;0;4164113
50000;0;1;CountingSort;150001;0;0;377143
50000;0;1;QuickSort;3184290;1459542;541539;2581211
50000;0;1;InsertionSort;149997;49999;0;20780
50000;0;1;BubbleSort;99998;49999;0;29160
50000;0;1;MergeSort;1568928;401952;0;4164374
50000;0;1;CountingSort;150001;0;0;1365531
50000;0;1;QuickSort;3152651;1407422;548441;3366767
50000;0;1;InsertionSort;149997;49999;0;20910
50000;0;1;BubbleSort;99998;49999;0;25641
50000;0;1;MergeSort;1568928;401952;0;3545878
50000;0;1;CountingSort;150001;0;0;286882
50000;0;1;QuickSort;3222844;1441705;560345;2459730
50000;0;1;InsertionSort;149997;49999;0;48900
50000;0;1;BubbleSort;99998;49999;0;30110
50000;0;1;MergeSort;1568928;401952;0;3474278
50000;0;1;CountingSort;150001;0;0;1478792
50000;0;1;QuickSort;3339500;1462670;592214;3676520
50000;0;1;InsertionSort;149997;49999;0;20710
50000;0;1;BubbleSort;99998;49999;0;26861
50000;0;1;MergeSort;1568928;401952;0;3411997
50000;0;1;CountingSort;150001;0;0;289632
50000;0;1;QuickSort;3369046;1481278;595963;2464250
50000;0;1;InsertionSort;149997;49999;0;21040
50000;0;1;BubbleSort;99998;49999;0;29201
50000;0;1;MergeSort;1568928;401952;0;3258196
50000;0;1;CountingSort;150001;0;0;310123
50000;0;1;QuickSort;3010631;1352777;519338;1850445
50000;0;1;InsertionSort;149997;49999;0;20761
50000;0;1;BubbleSort;99998;49999;0;17350
50000;0;1;MergeSort;1568928;401952;0;4029562
50000;0;1;CountingSort;150001;0;0;1351791
50000;0;1;QuickSort;3291261;1460124;577002;3645239
50000;0;1;InsertionSort;149997;49999;0;30481
50000;0;1;BubbleSort;99998;49999;0;17360
50000;0;1;MergeSort;1568928;401952;0;3989992
50000;0;1;CountingSort;150001;0;0;292332
50000;0;1;QuickSort;3112752;1403319;536493;2391859
50000;0;1;InsertionSort;149997;49999;0;20800
50000;0;1;BubbleSort;99998;49999;0;26931
50000;0;1;MergeSort;1568928;401952;0;4159713
50000;0;1;CountingSort;150001;0;0;1452592
50000;0;1;QuickSort;3007907;1351730;518693;3610979
50000;0;1;InsertionSort;149997;49999;0;35740
50000;0;1;BubbleSort;99998;49999;0;22280
50000;0;1;MergeSort;1568928;401952;0;3279337
50000;0;1;CountingSort;150001;0;0;282563
50000;0;1;QuickSort;3169375;1418197;550386;2408209
50000;0;1;InsertionSort;149997;49999;0;20800
50000;0;1;BubbleSort;99998;49999;0;18940
50000;0;1;MergeSort;1568928;401952;0;3548279
50000;0;1;CountingSort;150001;0;0;294622
50000;0;1;QuickSort;3193386;1463337;543406;2120107
50000;0;1;InsertionSort;149997;49999;0;20860
50000;0;1;BubbleSort;99998;49999;0;37081
50000;0;1;MergeSort;1568928;401952;0;3335017
50000;0;1;CountingSort;150001;0;0;1979726
50000;0;1;QuickSort;2950093;1361863;496118;3705600
50000;0;1;InsertionSort;149997;49999;0;20960
50000;0;1;BubbleSort;99998;49999;0;18960
50000;0;1;MergeSort;1568928;401952;0;3320677
50000;0;1;CountingSort;150001;0;0;287672
50000;0;1;QuickSort;3393029;1517294;591956;2513131
50000;0;1;InsertionSort;149997;49999;0;22011
50000;0;1;BubbleSort;99998;49999;0;19000
50000;0;1;MergeSort;1568928;401952;0;3201546
50000;0;1;CountingSort;150001;0;0;1653863
50000;0;1;QuickSort;3029651;1361900;522601;3698419
50000;0;1;InsertionSort;149997;49999;0;20830
50000;0;1;BubbleSort;99998;49999;0;19001
50000;0;1;MergeSort;1568928;401952;0;3254515
50000;0;1;CountingSort;150001;0;0;524564
50000;0;1;QuickSort;2958152;1343624;504842;2389419
50000;0;1;InsertionSort;149997;49999;0;20790
50000;0;1;BubbleSort;99998;49999;0;25641
50000;0;1;MergeSort;1568928;401952;0;4134333
50000;0;1;CountingSort;150001;0;0;284042
50000;0;1;QuickSort;2918379;1317990;500155;1909445
50000;0;1;InsertionSort;149997;49999;0;20860
50000;0;1;BubbleSort;99998;49999;0;18940
50000;0;1;MergeSort;1568928;401952;0;3457088
50000;0;1;CountingSort;150001;0;0;1383461
50000;0;1;QuickSort;2999184;1385199;504675;3111085
50000;0;1;InsertionSort;149997;49999;0;30511
50000;0;1;BubbleSort;99998;49999;0;17490
50000;0;1;MergeSort;1568928;401952;0;3229016
50000;0;1;CountingSort;150001;0;0;287342
50000;0;1;QuickSort;3185594;1429949;551906;1972836
50000;0;1;InsertionSort;149997;49999;0;16981
50000;0;1;BubbleSort;99998;49999;0;20400
50000;0;1;MergeSort;1568928;401952;0;3244576
50000;0;1;CountingSort;150001;0;0;1018098
50000;0;1;QuickSort;3114199;1414915;533070;3148435
50000;0;1;InsertionSort;149997;49999;0;20860
50000;0;1;BubbleSort;99998;49999;0;29251
50000;0;1;MergeSort;1568928;401952;0;2277508
50000;0;1;CountingSort;150001;0;0;219252
50000;0;1;QuickSort;3056591;1361387;531724;2337408
50000;0;1;InsertionSort;149997;49999;0;16710
50000;0;1;BubbleSort;99998;49999;0;29020
50000;0;1;MergeSort;1568928;401952;0;1439392
50000;0;1;CountingSort;150001;0;0;1214940
50000;0;1;QuickSort;3009034;1358794;516805;3410607
50000;0;1;InsertionSort;149997;49999;0;20890
50000;0;1;BubbleSort;99998;49999;0;20450
50000;0;1;MergeSort;1568928;401952;0;1795614
50000;0;1;CountingSort;150001;0;0;1521593
50000;0;1;QuickSort;3084963;1398285;528885;3290767
50000;0;1;InsertionSort;149997;49999;0;20920
50000;0;1;BubbleSort;99998;49999;0;19610
50000;0;1;MergeSort;1568928;401952;0;2606281
50000;0;1;CountingSort;150001;0;0;165451
50000;0;1;QuickSort;3104385;1455111;516398;2008226
50000;0;1;InsertionSort;149997;49999;0;64670
50000;0;1;BubbleSort;99998;49999;0;30960
50000;0;1;MergeSort;1568928;401952;0;2409879
50000;0;1;CountingSort;150001;0;0;1456012
50000;0;1;QuickSort;2999567;1353197;515534;3151005
50000;0;1;InsertionSort;149997;49999;0;20710
50000;0;1;BubbleSort;99998;49999;0;25460
50000;0;1;MergeSort;1568928;401952;0;2176037
50000;0;1;CountingSort;150001;0;0;368822
50000;0;1;QuickSort;3128520;1406664;540585;2442239
50000;0;1;InsertionSort;149997;49999;0;16570
50000;0;1;BubbleSort;99998;49999;0;29191
50000;0;1;MergeSort;1568928;401952;0;1817784
50000;0;1;CountingSort;150001;0;0;253602
50000;0;1;QuickSort;3101743;1429330;524156;1959986
50000;0;1;InsertionSort;149997;49999;0;20850
50000;0;1;BubbleSort;99998;49999;0;20121
50000;0;1;MergeSort;1568928;401952;0;1782664
50000;0;1;CountingSort;150001;0;0;1221879
50000;0;1;QuickSort;3126470;1403219;541083;3257796
50000;0;1;InsertionSort;149997;49999;0;35220
50000;0;1;BubbleSort;99998;49999;0;14040
50000;0;1;MergeSort;1568928;401952;0;2085236
50000;0;1;CountingSort;150001;0;0;285632
50000;0;1;QuickSort;3204699;1413231;563872;2353459
50000;0;1;InsertionSort;149997;49999;0;20770
