taille;desordre;typeDesordre;algo;accesses;comparisons;swaps;timeNano
500;0;1;CountingSort;1501;0;0;106110
500;0;1;QuickSort;16734;6957;2928;756862
500;0;1;InsertionSort;1497;499;0;94341
500;0;1;BubbleSort;998;499;0;63741
500;0;1;MergeSort;8976;2272;0;488361
500;0;1;CountingSort;1501;0;0;57801
500;0;1;QuickSort;15899;6788;2696;198291
500;0;1;InsertionSort;1497;499;0;46410
500;0;1;BubbleSort;998;499;0;28170
500;0;1;MergeSort;8976;2272;0;99390
500;0;1;CountingSort;1501;0;0;62940
500;0;1;QuickSort;18344;7406;3315;109561
500;0;1;InsertionSort;1497;499;0;48950
500;0;1;BubbleSort;998;499;0;67731
500;0;1;MergeSort;8976;2272;0;118330
500;0;1;CountingSort;1501;0;0;57170
500;0;1;QuickSort;17961;7245;3228;210880
500;0;1;InsertionSort;1497;499;0;40120
500;0;1;BubbleSort;998;499;0;38870
500;0;1;MergeSort;8976;2272;0;81141
500;0;1;CountingSort;1501;0;0;58480
500;0;1;QuickSort;17018;7049;2995;100260
500;0;1;InsertionSort;1497;499;0;60640
500;0;1;BubbleSort;998;499;0;38210
500;0;1;MergeSort;8976;2272;0;111930
500;0;1;CountingSort;1501;0;0;84920
500;0;1;QuickSort;19439;7901;3516;195970
500;0;1;InsertionSort;1497;499;0;55090
500;0;1;BubbleSort;998;499;0;48160
500;0;1;MergeSort;8976;2272;0;86140
500;0;1;CountingSort;1501;0;0;55970
500;0;1;QuickSort;17382;7194;3059;126480
500;0;1;InsertionSort;1497;499;0;39780
500;0;1;BubbleSort;998;499;0;29180
500;0;1;MergeSort;8976;2272;0;116560
500;0;1;CountingSort;1501;0;0;48600
500;0;1;QuickSort;17393;7091;3112;76950
500;0;1;InsertionSort;1497;499;0;56410
500;0;1;BubbleSort;998;499;0;37760
500;0;1;MergeSort;8976;2272;0;140861
500;0;1;CountingSort;1501;0;0;57130
500;0;1;QuickSort;17440;7006;3146;129630
500;0;1;InsertionSort;1497;499;0;88520
500;0;1;BubbleSort;998;499;0;52310
500;0;1;MergeSort;8976;2272;0;117101
500;0;1;CountingSort;1501;0;0;75590
500;0;1;QuickSort;17864;7259;3195;101430
500;0;1;InsertionSort;1497;499;0;68430
500;0;1;BubbleSort;998;499;0;65240
500;0;1;MergeSort;8976;2272;0;127761
500;0;1;CountingSort;1501;0;0;63170
500;0;1;QuickSort;15366;6378;2664;82800
500;0;1;InsertionSort;1497;499;0;46930
500;0;1;BubbleSort;998;499;0;53980
500;0;1;MergeSort;8976;2272;0;111451
500;0;1;CountingSort;1501;0;0;58350
500;0;1;QuickSort;19117;7699;3475;441231
500;0;1;InsertionSort;1497;499;0;60400
500;0;1;BubbleSort;998;499;0;42490
500;0;1;MergeSort;8976;2272;0;146341
500;0;1;CountingSort;1501;0;0;46800
500;0;1;QuickSort;18088;7285;3267;349751
500;0;1;InsertionSort;1497;499;0;67520
500;0;1;BubbleSort;998;499;0;42090
500;0;1;MergeSort;8976;2272;0;74420
500;0;1;CountingSort;1501;0;0;45650
500;0;1;QuickSort;16978;6931;3012;410232
500;0;1;InsertionSort;1497;499;0;46911
500;0;1;BubbleSort;998;499;0;40110
500;0;1;MergeSort;8976;2272;0;60860
500;0;1;CountingSort;1501;0;0;57330
500;0;1;QuickSort;15537;6600;2646;305971
500;0;1;InsertionSort;1497;499;0;45350
500;0;1;BubbleSort;998;499;0;40130
500;0;1;MergeSort;8976;2272;0;75760
500;0;1;CountingSort;1501;0;0;52510
500;0;1;QuickSort;19299;8103;3393;110910
500;0;1;InsertionSort;1497;499;0;38470
500;0;1;BubbleSort;998;499;0;26750
500;0;1;MergeSort;8976;2272;0;106980
500;0;1;CountingSort;1501;0;0;45490
500;0;1;QuickSort;16137;6537;2862;18650
500;0;1;InsertionSort;1497;499;0;46211
500;0;1;BubbleSort;998;499;0;38510
500;0;1;MergeSort;8976;2272;0;80270
500;0;1;CountingSort;1501;0;0;59580
500;0;1;QuickSort;17981;7760;3074;18610
500;0;1;InsertionSort;1497;499;0;44870
500;0;1;BubbleSort;998;499;0;31440
500;0;1;MergeSort;8976;2272;0;101981
500;0;1;CountingSort;1501;0;0;56441
500;0;1;QuickSort;19467;8052;3482;14280
500;0;1;InsertionSort;1497;499;0;46560
500;0;1;BubbleSort;998;499;0;33290
