taille;desordre;typeDesordre;algo;accesses;comparisons;swaps;timeNano
5000;0;1;CountingSort;15001;0;0;787672
5000;0;1;QuickSort;243210;103887;43087;3325159
5000;0;1;InsertionSort;14997;4999;0;664652
5000;0;1;BubbleSort;9998;4999;0;473532
5000;0;1;MergeSort;123616;32004;0;1634585
5000;0;1;CountingSort;15001;0;0;532981
5000;0;1;QuickSort;239343;105570;41246;3558079
5000;0;1;InsertionSort;14997;4999;0;535601
5000;0;1;BubbleSort;9998;4999;0;273711
5000;0;1;MergeSort;123616;32004;0;677612
5000;0;1;CountingSort;15001;0;0;498842
5000;0;1;QuickSort;241447;105133;42114;4347871
5000;0;1;InsertionSort;14997;4999;0;411821
5000;0;1;BubbleSort;9998;4999;0;428771
5000;0;1;MergeSort;123616;32004;0;626012
5000;0;1;CountingSort;15001;0;0;773372
5000;0;1;QuickSort;228419;99542;39669;249950
5000;0;1;InsertionSort;14997;4999;0;531321
5000;0;1;BubbleSort;9998;4999;0;465451
5000;0;1;MergeSort;123616;32004;0;599842
5000;0;1;CountingSort;15001;0;0;146180
5000;0;1;QuickSort;252809;109724;44366;416591
5000;0;1;InsertionSort;14997;4999;0;636302
5000;0;1;BubbleSort;9998;4999;0;460332
5000;0;1;MergeSort;123616;32004;0;396801
5000;0;1;CountingSort;15001;0;0;125470
5000;0;1;QuickSort;227878;100984;38966;242890
5000;0;1;InsertionSort;14997;4999;0;570361
5000;0;1;BubbleSort;9998;4999;0;420871
5000;0;1;MergeSort;123616;32004;0;358681
5000;0;1;CountingSort;15001;0;0;155230
5000;0;1;QuickSort;238084;103405;41544;230561
5000;0;1;InsertionSort;14997;4999;0;490611
5000;0;1;BubbleSort;9998;4999;0;349001
5000;0;1;MergeSort;123616;32004;0;463172
5000;0;1;CountingSort;15001;0;0;96501
5000;0;1;QuickSort;236895;104370;40869;407641
5000;0;1;InsertionSort;14997;4999;0;410611
5000;0;1;BubbleSort;9998;4999;0;404831
5000;0;1;MergeSort;123616;32004;0;570851
5000;0;1;CountingSort;15001;0;0;227521
5000;0;1;QuickSort;239963;104294;41891;447281
5000;0;1;InsertionSort;14997;4999;0;405781
5000;0;1;BubbleSort;9998;4999;0;377971
5000;0;1;MergeSort;123616;32004;0;482892
5000;0;1;CountingSort;15001;0;0;75340
5000;0;1;QuickSort;255526;114286;43749;291561
5000;0;1;InsertionSort;14997;4999;0;421802
5000;0;1;BubbleSort;9998;4999;0;392711
5000;0;1;MergeSort;123616;32004;0;495371
5000;0;1;CountingSort;15001;0;0;146111
5000;0;1;QuickSort;253511;107498;45332;151461
5000;0;1;InsertionSort;14997;4999;0;463602
5000;0;1;BubbleSort;9998;4999;0;453692
5000;0;1;MergeSort;123616;32004;0;531181
5000;0;1;CountingSort;15001;0;0;89050
5000;0;1;QuickSort;224915;98741;38703;360021
5000;0;1;InsertionSort;14997;4999;0;517302
5000;0;1;BubbleSort;9998;4999;0;372181
5000;0;1;MergeSort;123616;32004;0;397541
5000;0;1;CountingSort;15001;0;0;134650
5000;0;1;QuickSort;241862;105122;42248;300911
5000;0;1;InsertionSort;14997;4999;0;433471
5000;0;1;BubbleSort;9998;4999;0;304521
5000;0;1;MergeSort;123616;32004;0;526101
5000;0;1;CountingSort;15001;0;0;89840
5000;0;1;QuickSort;227796;99282;39486;245480
5000;0;1;InsertionSort;14997;4999;0;520081
5000;0;1;BubbleSort;9998;4999;0;258011
5000;0;1;MergeSort;123616;32004;0;486011
5000;0;1;CountingSort;15001;0;0;77870
5000;0;1;QuickSort;242256;105501;42263;255340
5000;0;1;InsertionSort;14997;4999;0;260050
5000;0;1;BubbleSort;9998;4999;0;399251
5000;0;1;MergeSort;123616;32004;0;449321
5000;0;1;CountingSort;15001;0;0;153950
5000;0;1;QuickSort;282388;118492;51302;353561
5000;0;1;InsertionSort;14997;4999;0;204220
5000;0;1;BubbleSort;9998;4999;0;168580
5000;0;1;MergeSort;123616;32004;0;434601
5000;0;1;CountingSort;15001;0;0;139350
5000;0;1;QuickSort;258628;110890;45911;318841
5000;0;1;InsertionSort;14997;4999;0;75280
5000;0;1;BubbleSort;9998;4999;0;83430
5000;0;1;MergeSort;123616;32004;0;466911
5000;0;1;CountingSort;15001;0;0;134910
5000;0;1;QuickSort;223701;98514;38436;333551
5000;0;1;InsertionSort;14997;4999;0;150780
5000;0;1;BubbleSort;9998;4999;0;159571
5000;0;1;MergeSort;123616;32004;0;397451
5000;0;1;CountingSort;15001;0;0;174371
5000;0;1;QuickSort;252709;111415;43771;283051
5000;0;1;InsertionSort;14997;4999;0;45320
5000;0;1;BubbleSort;9998;4999;0;109701
5000;0;1;MergeSort;123616;32004;0;382441
5000;0;1;CountingSort;15001;0;0;144030
5000;0;1;QuickSort;240878;106610;41415;1737714
5000;0;1;InsertionSort;14997;4999;0;1552824
5000;0;1;BubbleSort;9998;4999;0;1516174
5000;0;1;MergeSort;123616;32004;0;1696024
5000;0;1;CountingSort;15001;0;0;189261
5000;0;1;QuickSort;236635;105100;40475;237800
5000;0;1;InsertionSort;14997;4999;0;207860
5000;0;1;BubbleSort;9998;4999;0;144570
5000;0;1;MergeSort;123616;32004;0;389241
5000;0;1;CountingSort;15001;0;0;351981
5000;0;1;QuickSort;234140;105137;39667;399511
5000;0;1;InsertionSort;14997;4999;0;92280
5000;0;1;BubbleSort;9998;4999;0;143521
5000;0;1;MergeSort;123616;32004;0;248441
5000;0;1;CountingSort;15001;0;0;229571
5000;0;1;QuickSort;235797;103194;40846;331031
5000;0;1;InsertionSort;14997;4999;0;59860
5000;0;1;BubbleSort;9998;4999;0;66830
5000;0;1;MergeSort;123616;32004;0;195101
5000;0;1;CountingSort;15001;0;0;249991
5000;0;1;QuickSort;244485;107856;42194;202241
5000;0;1;InsertionSort;14997;4999;0;92960
5000;0;1;BubbleSort;9998;4999;0;67140
5000;0;1;MergeSort;123616;32004;0;221141
5000;0;1;CountingSort;15001;0;0;138220
5000;0;1;QuickSort;258902;113339;45199;337471
5000;0;1;InsertionSort;14997;4999;0;127371
5000;0;1;BubbleSort;9998;4999;0;69290
5000;0;1;MergeSort;123616;32004;0;253761
5000;0;1;CountingSort;15001;0;0;130720
5000;0;1;QuickSort;246154;110608;41873;249021
5000;0;1;InsertionSort;14997;4999;0;147431
5000;0;1;BubbleSort;9998;4999;0;123821
5000;0;1;MergeSort;123616;32004;0;358961
5000;0;1;CountingSort;15001;0;0;141821
5000;0;1;QuickSort;258504;112866;45192;268021
5000;0;1;InsertionSort;14997;4999;0;153371
5000;0;1;BubbleSort;9998;4999;0;105560
5000;0;1;MergeSort;123616;32004;0;272730
5000;0;1;CountingSort;15001;0;0;92970
5000;0;1;QuickSort;247181;110681;42168;190041
5000;0;1;InsertionSort;14997;4999;0;154971
5000;0;1;BubbleSort;9998;4999;0;161421
5000;0;1;MergeSort;123616;32004;0;337861
5000;0;1;CountingSort;15001;0;0;206200
5000;0;1;QuickSort;237569;105506;40706;379091
5000;0;1;InsertionSort;14997;4999;0;55580
5000;0;1;BubbleSort;9998;4999;0;39410
5000;0;1;MergeSort;123616;32004;0;271210
5000;0;1;CountingSort;15001;0;0;108580
5000;0;1;QuickSort;228291;102495;38601;204761
