taille,desordre,typeDesordre,algo,accesses,comparisons,swaps,timeNano
1000,0,1,CountingSort,3001,0,0,149457
1000,0,1,QuickSort,38824,16417,6793,876134
1000,0,1,InsertionSort,2997,999,0,99219
1000,0,1,BubbleSort,1998,999,0,64858
1000,0,1,MergeSort,19952,5044,0,586189
1000,0,2,CountingSort,3001,0,0,144618
1000,0,2,QuickSort,35529,15939,5859,784256
1000,0,2,InsertionSort,2997,999,0,97759
1000,0,2,BubbleSort,1998,999,0,61849
1000,0,2,MergeSort,19952,5044,0,577109
1000,0,3,CountingSort,3001,0,0,146848
1000,0,3,QuickSort,38655,16551,6706,807966
1000,0,3,InsertionSort,2997,999,0,96958
1000,0,3,BubbleSort,1998,999,0,60619
1000,0,3,MergeSort,19952,5044,0,577739
1000,0,4,CountingSort,3001,0,0,146247
1000,0,4,QuickSort,35006,14990,5996,799845
1000,0,4,InsertionSort,2997,999,0,108668
1000,0,4,BubbleSort,1998,999,0,60379
1000,0,4,MergeSort,19952,5044,0,649938
1000,10,1,CountingSort,3001,0,0,152067
1000,10,1,QuickSort,37539,15654,6624,870325
1000,10,1,InsertionSort,152505,50835,0,3402100
1000,10,1,BubbleSort,1190512,495584,49836,6626591
1000,10,1,MergeSort,19952,7958,0,696598
1000,10,2,CountingSort,3001,0,0,149388
1000,10,2,QuickSort,40690,17920,6924,804595
1000,10,2,InsertionSort,10797,3597,0,290035
1000,10,2,BubbleSort,185848,87722,2601,4006068
1000,10,2,MergeSort,19952,5241,0,655408
1000,10,3,CountingSort,3001,0,0,147618
1000,10,3,QuickSort,35917,15394,6170,700997
1000,10,3,InsertionSort,10392,3464,0,266886
1000,10,3,BubbleSort,179850,84995,2465,3889451
1000,10,3,MergeSort,19952,5252,0,640979
1000,10,4,CountingSort,3001,0,0,149907
1000,10,4,QuickSort,37217,15581,6538,865735
1000,10,4,InsertionSort,9294,3098,0,251586
1000,10,4,BubbleSort,182024,86814,2099,4032078
1000,10,4,MergeSort,19952,5283,0,649428
1000,20,1,CountingSort,3001,0,0,142717
1000,20,1,QuickSort,35956,15154,6261,817166
1000,20,1,InsertionSort,330445,110147,0,4821524
1000,20,1,BubbleSort,1435258,499329,109150,7458497
1000,20,1,MergeSort,19952,8360,0,675418
1000,20,2,CountingSort,3001,0,0,189616
1000,20,2,QuickSort,42650,17837,7598,1001672
1000,20,2,InsertionSort,31284,10426,0,803116
1000,20,2,BubbleSort,353618,157949,9430,4623658
1000,20,2,MergeSort,19952,5523,0,663139
1000,20,3,CountingSort,3001,0,0,153197
1000,20,3,QuickSort,36574,16126,6148,707897
1000,20,3,InsertionSort,29562,9854,0,719847
1000,20,3,BubbleSort,382364,173472,8855,4606768
1000,20,3,MergeSort,19952,5564,0,642119
1000,20,4,CountingSort,3001,0,0,147018
1000,20,4,QuickSort,37038,15786,6424,705808
1000,20,4,InsertionSort,26985,8995,0,685318
1000,20,4,BubbleSort,357764,162890,7996,4538439
1000,20,4,MergeSort,19952,5605,0,651539
1000,30,1,CountingSort,3001,0,0,148427
1000,30,1,QuickSort,43566,18225,7788,761297
1000,30,1,InsertionSort,409545,136515,0,5073780
1000,30,1,BubbleSort,1536904,497420,135516,7547176
1000,30,1,MergeSort,19952,8536,0,707557
1000,30,2,CountingSort,3001,0,0,186047
1000,30,2,QuickSort,33956,14492,5823,681438
1000,30,2,InsertionSort,61666,20554,0,1444095
1000,30,2,BubbleSort,550878,236325,19557,5206587
1000,30,2,MergeSort,19952,5848,0,663578
1000,30,3,CountingSort,3001,0,0,167387
1000,30,3,QuickSort,41421,17655,7265,792026
1000,30,3,InsertionSort,60480,20160,0,1487424
1000,30,3,BubbleSort,573672,248514,19161,5344285
