taille,desordre,typeDesordre,algo,accesses,comparisons,swaps,timeNano
500,0,1,CountingSort,1501,0,0,79128
500,0,1,QuickSort,17481,7698,2934,637108
500,0,1,InsertionSort,1497,499,0,49299
500,0,1,BubbleSort,998,499,0,37689
500,0,1,MergeSort,8976,2272,0,423242
500,0,2,CountingSort,1501,0,0,115048
500,0,2,QuickSort,16463,6920,2853,614419
500,0,2,InsertionSort,1497,499,0,50019
500,0,2,BubbleSort,998,499,0,31180
500,0,2,MergeSort,8976,2272,0,478111
500,0,3,CountingSort,1501,0,0,100868
500,0,3,QuickSort,19503,7926,3516,605029
500,0,3,InsertionSort,1497,499,0,50519
500,0,3,BubbleSort,998,499,0,32420
500,0,3,MergeSort,8976,2272,0,421362
500,0,4,CountingSort,1501,0,0,78939
500,0,4,QuickSort,17448,7434,3011,584669
500,0,4,InsertionSort,1497,499,0,49839
500,0,4,BubbleSort,998,499,0,31210
500,0,4,MergeSort,8976,2272,0,409342
500,10,1,CountingSort,1501,0,0,78618
500,10,1,QuickSort,15706,6763,2643,615999
500,10,1,InsertionSort,46965,15655,0,1171169
500,10,1,BubbleSort,308934,124155,15156,4165545
500,10,1,MergeSort,8976,3490,0,438482
500,10,2,CountingSort,1501,0,0,81868
500,10,2,QuickSort,18776,7844,3308,535681
500,10,2,InsertionSort,3320,1104,0,101208
500,10,2,BubbleSort,46274,21919,609,1302586
500,10,2,MergeSort,8976,2345,0,414792
500,10,3,CountingSort,1501,0,0,85988
500,10,3,QuickSort,18097,7429,3219,580470
500,10,3,InsertionSort,3033,1011,0,97739
500,10,3,BubbleSort,46792,22372,512,1320856
500,10,3,MergeSort,8976,2356,0,392703
500,10,4,CountingSort,1501,0,0,104878
500,10,4,QuickSort,18986,7592,3462,504841
500,10,4,InsertionSort,2805,935,0,88598
500,10,4,BubbleSort,39184,18720,436,1125520
500,10,4,MergeSort,8976,2351,0,405443
500,20,1,CountingSort,1501,0,0,86039
500,20,1,QuickSort,17191,7225,2986,681688
500,20,1,InsertionSort,64453,21483,0,1924416
500,20,1,BubbleSort,331464,123760,20986,4588787
500,20,1,MergeSort,8976,3627,0,633949
500,20,2,CountingSort,1501,0,0,78738
500,20,2,QuickSort,18142,7321,3265,556779
500,20,2,InsertionSort,8462,2818,0,218886
500,20,2,BubbleSort,99192,44950,2323,2668672
500,20,2,MergeSort,8976,2456,0,404482
500,20,3,CountingSort,1501,0,0,118918
500,20,3,QuickSort,16872,6957,2964,617399
500,20,3,InsertionSort,9555,3185,0,269845
500,20,3,BubbleSort,88434,38845,2686,2394527
500,20,3,MergeSort,8976,2467,0,404693
500,20,4,CountingSort,1501,0,0,78509
500,20,4,QuickSort,16885,6682,3068,509891
500,20,4,InsertionSort,8064,2688,0,243285
500,20,4,BubbleSort,81436,36340,2189,2182641
500,20,4,MergeSort,8976,2493,0,413783
500,30,1,CountingSort,1501,0,0,75919
500,30,1,QuickSort,17609,7628,2997,491541
500,30,1,InsertionSort,101244,33748,0,2346217
500,30,1,BubbleSort,380604,123804,33249,4811214
500,30,1,MergeSort,8976,3714,0,450492
500,30,2,CountingSort,1501,0,0,99038
500,30,2,QuickSort,17747,7223,3179,497891
500,30,2,InsertionSort,15585,5195,0,509121
500,30,2,BubbleSort,135424,58320,4696,3687263
500,30,2,MergeSort,8976,2597,0,480071
500,30,3,CountingSort,1501,0,0,77799
500,30,3,QuickSort,17799,7614,3063,535530
500,30,3,InsertionSort,16620,5540,0,434252
500,30,3,BubbleSort,142572,61204,5041,3696033
500,30,3,MergeSort,8976,2649,0,427973
500,30,4,CountingSort,1501,0,0,76539
500,30,4,QuickSort,17472,7740,2906,563200
500,30,4,InsertionSort,16449,5483,0,431532
500,30,4,BubbleSort,129934,54999,4984,3305471
500,30,4,MergeSort,8976,2680,0,422852
500,40,1,CountingSort,1501,0,0,110778
500,40,1,QuickSort,16287,6702,2861,459961
500,40,1,InsertionSort,126601,42199,0,2913728
500,40,1,BubbleSort,415316,124254,41702,4976730
500,40,1,MergeSort,8976,3845,0,454932
500,40,2,CountingSort,1501,0,0,81339
500,40,2,QuickSort,17504,7343,3052,557590
500,40,2,InsertionSort,27942,9312,0,676428
500,40,2,BubbleSort,182044,73390,8816,3931139
500,40,2,MergeSort,8976,2750,0,418283
500,40,3,CountingSort,1501,0,0,78249
500,40,3,QuickSort,16624,6754,2953,470471
500,40,3,InsertionSort,29346,9782,0,723737
500,40,3,BubbleSort,193912,78390,9283,4039267
500,40,3,MergeSort,8976,2773,0,422442
500,40,4,CountingSort,1501,0,0,78459
500,40,4,QuickSort,17629,7492,3050,542240
500,40,4,InsertionSort,27891,9297,0,697528
500,40,4,BubbleSort,181330,73069,8798,4022398
500,40,4,MergeSort,8976,2824,0,416063
500,50,1,CountingSort,1501,0,0,76049
500,50,1,QuickSort,16643,7016,2870,451472
500,50,1,InsertionSort,129699,43233,0,2963177
500,50,1,BubbleSort,420226,124645,42734,5055360
500,50,1,MergeSort,8976,3823,0,448652
500,50,2,CountingSort,1501,0,0,86089
500,50,2,QuickSort,18233,7208,3337,514281
500,50,2,InsertionSort,47127,15707,0,1128439
500,50,2,BubbleSort,240912,90034,15211,4354613
500,50,2,MergeSort,8976,2955,0,422323
500,50,3,CountingSort,1501,0,0,139557
500,50,3,QuickSort,16928,6902,2999,677098
500,50,3,InsertionSort,43461,14487,0,1057431
500,50,3,BubbleSort,237070,90559,13988,4158116
500,50,3,MergeSort,8976,2943,0,415693
500,50,4,CountingSort,1501,0,0,77018
500,50,4,QuickSort,17169,7305,2950,478882
500,50,4,InsertionSort,44394,14798,0,1058641
500,50,4,BubbleSort,234066,88435,14299,4269543
500,50,4,MergeSort,8976,2932,0,420272
500,60,1,CountingSort,1501,0,0,76559
500,60,1,QuickSort,16194,6762,2810,462102
500,60,1,InsertionSort,143076,47690,0,3296631
500,60,1,BubbleSort,436944,124084,47194,5050120
500,60,1,MergeSort,8976,3815,0,484571
500,60,2,CountingSort,1501,0,0,76629
500,60,2,QuickSort,18534,7542,3334,524821
500,60,2,InsertionSort,60007,19999,0,1434385
500,60,2,BubbleSort,272530,97255,19505,4380292
500,60,2,MergeSort,8976,3041,0,426283
500,60,3,CountingSort,1501,0,0,96169
500,60,3,QuickSort,15702,6576,2709,483621
500,60,3,InsertionSort,64485,21495,0,1539402
500,60,3,BubbleSort,290842,103429,20996,4508669
500,60,3,MergeSort,8976,3183,0,648569
500,60,4,CountingSort,1501,0,0,78369
