taille,desordre,typeDesordre,algo,accesses,comparisons,swaps,timeNano
100,0,1,CountingSort,301,0,0,17489
100,0,1,QuickSort,2592,948,482,162187
100,0,1,InsertionSort,297,99,0,19010
100,0,1,BubbleSort,198,99,0,9200
100,0,1,MergeSort,1344,356,0,84548
100,0,2,CountingSort,301,0,0,17520
100,0,2,QuickSort,2164,814,384,128167
100,0,2,InsertionSort,297,99,0,12709
100,0,2,BubbleSort,198,99,0,9160
100,0,2,MergeSort,1344,356,0,81559
100,0,3,CountingSort,301,0,0,17360
100,0,3,QuickSort,2871,1128,513,194857
100,0,3,InsertionSort,297,99,0,12520
100,0,3,BubbleSort,198,99,0,9340
100,0,3,MergeSort,1344,356,0,85999
100,0,4,CountingSort,301,0,0,17550
100,0,4,QuickSort,2466,888,458,153478
100,0,4,InsertionSort,297,99,0,12830
100,0,4,BubbleSort,198,99,0,9190
100,0,4,MergeSort,1344,356,0,88139
100,10,1,CountingSort,301,0,0,21620
100,10,1,QuickSort,2307,867,412,150728
100,10,1,InsertionSort,2095,697,0,69098
100,10,1,BubbleSort,12258,4929,600,340364
100,10,1,MergeSort,1344,492,0,76609
100,10,2,CountingSort,301,0,0,17250
100,10,2,QuickSort,2816,1088,507,178536
100,10,2,InsertionSort,360,120,0,14190
100,10,2,BubbleSort,1612,764,21,77399
100,10,2,MergeSort,1344,361,0,81309
100,10,3,CountingSort,301,0,0,17429
100,10,3,QuickSort,2384,860,439,169187
100,10,3,InsertionSort,390,130,0,20089
100,10,3,BubbleSort,2014,945,31,100288
100,10,3,MergeSort,1344,364,0,105858
100,10,4,CountingSort,301,0,0,17599
100,10,4,QuickSort,2444,914,441,138127
100,10,4,InsertionSort,339,113,0,14390
100,10,4,BubbleSort,1214,579,14,51829
100,10,4,MergeSort,1344,361,0,78768
100,20,1,CountingSort,301,0,0,17310
100,20,1,QuickSort,2761,1051,502,149637
100,20,1,InsertionSort,2271,757,0,75459
100,20,1,BubbleSort,10892,4130,658,322294
100,20,1,MergeSort,1344,528,0,79808
100,20,2,CountingSort,301,0,0,17479
100,20,2,QuickSort,2540,980,453,159037
100,20,2,InsertionSort,605,199,0,21830
100,20,2,BubbleSort,3344,1464,104,115877
