taille,desordre,typeDesordre,algo,accesses,comparisons,swaps,timeNano
50000,0,1,CountingSort,150001,0,0,3043093
50000,0,1,QuickSort,3056514,1373388,527713,11786615
50000,0,1,InsertionSort,149997,49999,0,4252603
50000,0,1,BubbleSort,99998,49999,0,2833545
50000,0,1,MergeSort,1568928,401952,0,10659143
50000,0,2,CountingSort,150001,0,0,3391187
50000,0,2,QuickSort,3025087,1400629,508124,11873173
50000,0,2,InsertionSort,149997,49999,0,4103216
50000,0,2,BubbleSort,99998,49999,0,2878805
50000,0,2,MergeSort,1568928,401952,0,9323194
50000,0,3,CountingSort,150001,0,0,3071722
50000,0,3,QuickSort,3183951,1412661,557062,14132048
50000,0,3,InsertionSort,149997,49999,0,4004117
50000,0,3,BubbleSort,99998,49999,0,2867265
50000,0,3,MergeSort,1568928,401952,0,9394543
50000,0,4,CountingSort,150001,0,0,2847035
50000,0,4,QuickSort,3063990,1402230,520568,12036411
50000,0,4,InsertionSort,149997,49999,0,4074926
50000,0,4,BubbleSort,99998,49999,0,2899614
50000,0,4,MergeSort,1568928,401952,0,9325054
50000,10,1,CountingSort,150001,0,0,3382117
50000,10,1,QuickSort,3304135,1465522,579566,15269690
50000,10,1,InsertionSort,432103635,144034545,0,135549025
50000,10,1,BubbleSort,3075242572,1249652194,143984546,1702446650
50000,10,1,MergeSort,1568928,692550,0,10695123
50000,10,2,CountingSort,150001,0,0,3084562
50000,10,2,QuickSort,3065210,1400459,521536,12437197
50000,10,2,InsertionSort,16903924,5634638,0,15284972
50000,10,2,BubbleSort,489135386,233398405,5584644,246962394
50000,10,2,MergeSort,1568928,424457,0,9494653
50000,10,3,CountingSort,150001,0,0,3132262
50000,10,3,QuickSort,3050793,1374633,525396,11929975
50000,10,3,InsertionSort,17207247,5735749,0,16416235
50000,10,3,BubbleSort,494496740,235876870,5685750,252874282
50000,10,3,MergeSort,1568928,425801,0,9508243
50000,10,4,CountingSort,150001,0,0,3064072
50000,10,4,QuickSort,3369533,1470857,599568,13376202
50000,10,4,InsertionSort,16991907,5663969,0,19145354
50000,10,4,BubbleSort,492227574,234885847,5613970,252800584
50000,10,4,MergeSort,1568928,426998,0,11049199
50000,20,1,CountingSort,150001,0,0,3002323
50000,20,1,QuickSort,3146551,1393798,550881,14811420
50000,20,1,InsertionSort,759369645,253123215,0,228968983
50000,20,1,BubbleSort,3511534742,1249620939,253073216,1833294420
50000,20,1,MergeSort,1568928,705831,0,11276587
50000,20,2,CountingSort,150001,0,0,3000815
50000,20,2,QuickSort,3005956,1362616,514385,12254702
50000,20,2,InsertionSort,67916025,22638671,0,35159032
50000,20,2,BubbleSort,988264062,448954675,22588678,483379500
50000,20,2,MergeSort,1568928,451832,0,9906828
50000,20,3,CountingSort,150001,0,0,3058473
50000,20,3,QuickSort,3338442,1528680,569943,21044439
50000,20,3,InsertionSort,67267539,22422513,0,23669478
50000,20,3,BubbleSort,971188300,440849122,22372514,478626686
50000,20,3,MergeSort,1568928,454512,0,12875914
50000,20,4,CountingSort,150001,0,0,3163822
50000,20,4,QuickSort,3345011,1469459,591909,15961207
50000,20,4,InsertionSort,67600137,22533379,0,32066762
50000,20,4,BubbleSort,978382928,444224704,22483380,488239010
50000,20,4,MergeSort,1568928,457090,0,9945368
50000,30,1,CountingSort,150001,0,0,2997684
50000,30,1,QuickSort,3038756,1384991,517902,22044355
50000,30,1,InsertionSort,1002538758,334179584,0,301110313
50000,30,1,BubbleSort,3836299020,1249890334,334129588,1920422035
50000,30,1,MergeSort,1568928,712129,0,11426508
50000,30,2,CountingSort,150001,0,0,2970746
50000,30,2,QuickSort,3171676,1436608,545013,14135968
50000,30,2,InsertionSort,153836411,51278801,0,56962475
50000,30,2,BubbleSort,1460645422,627865099,51228806,698108310
50000,30,2,MergeSort,1568928,481054,0,10179637
50000,30,3,CountingSort,150001,0,0,3035245
50000,30,3,QuickSort,3038193,1371513,522238,12134578
50000,30,3,InsertionSort,152743098,50914366,0,48119641
50000,30,3,BubbleSort,1476201476,636372004,50864367,698314664
50000,30,3,MergeSort,1568928,486617,0,10112979
50000,30,4,CountingSort,150001,0,0,3062964
50000,30,4,QuickSort,3114048,1431621,527465,12235568
50000,30,4,InsertionSort,152099979,50699993,0,54251609
50000,30,4,BubbleSort,1472399574,634899799,50649994,716841144
50000,30,4,MergeSort,1568928,492072,0,10046760
50000,40,1,CountingSort,150001,0,0,2965596
50000,40,1,QuickSort,3139829,1424600,538424,20154220
50000,40,1,InsertionSort,1183299453,394433151,0,349957724
50000,40,1,BubbleSort,4077207508,1249837450,394383152,1978917420
50000,40,1,MergeSort,1568928,714862,0,11890286
50000,40,2,CountingSort,150001,0,0,3318741
50000,40,2,QuickSort,3176987,1418927,552690,14395089
50000,40,2,InsertionSort,269434411,89811469,0,89742514
50000,40,2,BubbleSort,1947831478,794392795,89761472,910299269
50000,40,2,MergeSort,1568928,511722,0,16717786
50000,40,3,CountingSort,150001,0,0,3041795
50000,40,3,QuickSort,3380954,1533860,582372,20160035
50000,40,3,InsertionSort,270343425,90114475,0,73634055
50000,40,3,BubbleSort,1951336148,795539122,90064476,1005309596
50000,40,3,MergeSort,1568928,516972,0,10395839
50000,40,4,CountingSort,150001,0,0,3099705
50000,40,4,QuickSort,3566270,1589729,625516,20105858
50000,40,4,InsertionSort,273771015,91257005,0,87474269
50000,40,4,BubbleSort,1952707824,793939900,91207006,1012273255
50000,40,4,MergeSort,1568928,522351,0,10264031
50000,50,1,CountingSort,150001,0,0,3005716
50000,50,1,QuickSort,2975838,1345128,510263,17388429
50000,50,1,InsertionSort,1330048947,443349649,0,392035694
50000,50,1,BubbleSort,4273050944,1249926172,443299650,2601372343
50000,50,1,MergeSort,1568928,715676,0,11837761
50000,50,2,CountingSort,150001,0,0,3484210
50000,50,2,QuickSort,3249925,1510471,546448,20110813
50000,50,2,InsertionSort,421389213,140463071,0,129262696
50000,50,2,BubbleSort,2417077132,927712422,140413072,1107867916
50000,50,2,MergeSort,1568928,547443,0,10627070
50000,50,3,CountingSort,150001,0,0,3024627
50000,50,3,QuickSort,3150382,1428079,540834,12952637
50000,50,3,InsertionSort,421381053,140460351,0,112730627
50000,50,3,BubbleSort,2423346976,930852784,140410352,1213316249
50000,50,3,MergeSort,1568928,547618,0,10632471
50000,50,4,CountingSort,150001,0,0,3088926
50000,50,4,QuickSort,3082919,1422770,520000,13487000
50000,50,4,InsertionSort,422735199,140911733,0,134037665
50000,50,4,BubbleSort,2433110806,934831935,140861734,1257864696
50000,50,4,MergeSort,1568928,547471,0,10593592
50000,60,1,CountingSort,150001,0,0,2916239
50000,60,1,QuickSort,3165385,1470502,531599,20987018
50000,60,1,InsertionSort,1443310071,481103357,0,424547813
50000,60,1,BubbleSort,4424099170,1249942869,481053358,2059461374
50000,60,1,MergeSort,1568928,716708,0,11958285
50000,60,2,CountingSort,150001,0,0,3096568
50000,60,2,QuickSort,2912318,1341194,490416,12059884
50000,60,2,InsertionSort,612244746,204081580,0,188911511
50000,60,2,BubbleSort,2908460426,1046167045,204031584,1412137125
50000,60,2,MergeSort,1568928,575111,0,10902031
50000,60,3,CountingSort,150001,0,0,3147487
50000,60,3,QuickSort,3117531,1378365,546520,13271498
50000,60,3,InsertionSort,614973012,204991004,0,162120603
50000,60,3,BubbleSort,2905408350,1042822165,204941005,1407525094
50000,60,3,MergeSort,1568928,586262,0,10890732
50000,60,4,CountingSort,150001,0,0,3040449
50000,60,4,QuickSort,3137668,1378813,552918,16402498
50000,60,4,InsertionSort,609304503,203101501,0,187559850
50000,60,4,BubbleSort,2909852702,1048823347,203051502,1454692423
50000,60,4,MergeSort,1568928,597478,0,16696475
50000,70,1,CountingSort,150001,0,0,2938480
50000,70,1,QuickSort,2888614,1312075,492117,12521271
50000,70,1,InsertionSort,1530232588,510077528,0,460449300
50000,70,1,BubbleSort,4539881618,1249885747,510027531,2682309637
50000,70,1,MergeSort,1568928,717474,0,16730638
50000,70,2,CountingSort,150001,0,0,2918071
50000,70,2,QuickSort,3168888,1414188,551476,15616573
50000,70,2,InsertionSort,834929514,278309838,0,251756672
50000,70,2,BubbleSort,3370424306,1128692475,278259839,1588988242
50000,70,2,MergeSort,1568928,607456,0,11304982
50000,70,3,CountingSort,150001,0,0,2960991
50000,70,3,QuickSort,2986007,1339022,515624,13922997
50000,70,3,InsertionSort,828581241,276193747,0,212126351
50000,70,3,BubbleSort,3375108530,1135266769,276143748,1591652015
50000,70,3,MergeSort,1568928,617381,0,11302692
50000,70,4,CountingSort,150001,0,0,3121769
50000,70,4,QuickSort,3274638,1493082,560566,12914392
50000,70,4,InsertionSort,828233013,276077671,0,250390806
50000,70,4,BubbleSort,3368668382,1132278847,276027672,1843931012
50000,70,4,MergeSort,1568928,627710,0,11315155
50000,80,1,CountingSort,150001,0,0,2948392
50000,80,1,QuickSort,3232513,1433806,566228,17309088
50000,80,1,InsertionSort,1605512207,535170733,0,476228519
50000,80,1,BubbleSort,4640261142,1249889095,535120738,2484651382
50000,80,1,MergeSort,1568928,717803,0,12088067
50000,80,2,CountingSort,150001,0,0,2980882
50000,80,2,QuickSort,3200758,1438195,554116,11984479
50000,80,2,InsertionSort,1083458038,361152678,0,326876097
50000,80,2,BubbleSort,3835857252,1195723264,361102681,1757293655
50000,80,2,MergeSort,1568928,641249,0,11437837
50000,80,3,CountingSort,150001,0,0,2984213
50000,80,3,QuickSort,3203750,1420058,561232,16861408
50000,80,3,InsertionSort,1082899122,360966374,0,269796334
50000,80,3,BubbleSort,3834214360,1195274430,360916375,1755814205
50000,80,3,MergeSort,1568928,652170,0,11606336
50000,80,4,CountingSort,150001,0,0,3090051
50000,80,4,QuickSort,3140794,1411927,542958,17789650
50000,80,4,InsertionSort,1084606491,361535497,0,323459833
50000,80,4,BubbleSort,3834916302,1194487155,361485498,1867336561
50000,80,4,MergeSort,1568928,662848,0,11621948
50000,90,1,CountingSort,150001,0,0,3041983
50000,90,1,QuickSort,3045624,1408899,512228,13320077
50000,90,1,InsertionSort,1658637159,552879051,0,494190916
50000,90,1,BubbleSort,4711228778,1249956279,552829055,2589819882
50000,90,1,MergeSort,1568928,717734,0,13450937
50000,90,2,CountingSort,150001,0,0,2986824
50000,90,2,QuickSort,3217268,1442834,558180,17485188
50000,90,2,InsertionSort,1372003767,457334589,0,404857484
50000,90,2,BubbleSort,4301949470,1236405555,457284590,1919257080
50000,90,2,MergeSort,1568928,677389,0,11928897
50000,90,3,CountingSort,150001,0,0,2971315
50000,90,3,QuickSort,3207768,1451793,551973,13152444
50000,90,3,InsertionSort,1377535575,459178525,0,343857873
50000,90,3,BubbleSort,4307320302,1235403099,459128526,1919891216
50000,90,3,MergeSort,1568928,685101,0,11898970
50000,90,4,CountingSort,150001,0,0,3113304
50000,90,4,QuickSort,3074365,1417141,519048,12044128
50000,90,4,InsertionSort,1368141255,456047085,0,405678246
50000,90,4,BubbleSort,4297390088,1236700872,455997086,2514869845
50000,90,4,MergeSort,1568928,692762,0,11840683
50000,100,1,CountingSort,150001,0,0,2977645
50000,100,1,QuickSort,2956303,1379701,492203,13072578
50000,100,1,InsertionSort,1680882062,560294018,0,503103581
50000,100,1,BubbleSort,4740851290,1249937599,560244023,2256714374
50000,100,1,MergeSort,1568928,717831,0,12247381
50000,100,2,CountingSort,150001,0,0,3038395
50000,100,2,QuickSort,3058847,1378031,526956,22893589
50000,100,2,InsertionSort,1694401304,564800430,0,501703141
