taille,desordre,typeDesordre,algo,accesses,comparisons,swaps,timeNano
10000,0,1,CountingSort,30001,0,0,1142670
10000,0,1,QuickSort,559106,248405,96906,3444090
10000,0,1,InsertionSort,29997,9999,0,847875
10000,0,1,BubbleSort,19998,9999,0,597899
10000,0,1,MergeSort,267232,69008,0,2179491
10000,0,2,CountingSort,30001,0,0,1162150
10000,0,2,QuickSort,523429,229813,91187,3617686
10000,0,2,InsertionSort,29997,9999,0,849534
10000,0,2,BubbleSort,19998,9999,0,580640
10000,0,2,MergeSort,267232,69008,0,2158501
10000,0,3,CountingSort,30001,0,0,1149190
10000,0,3,QuickSort,533319,230235,94371,3209353
10000,0,3,InsertionSort,29997,9999,0,860385
10000,0,3,BubbleSort,19998,9999,0,592430
10000,0,3,MergeSort,267232,69008,0,2166882
10000,0,4,CountingSort,30001,0,0,1195719
10000,0,4,QuickSort,548856,239418,96507,3660725
10000,0,4,InsertionSort,29997,9999,0,878384
10000,0,4,BubbleSort,19998,9999,0,587650
10000,0,4,MergeSort,267232,69008,0,2062153
10000,10,1,CountingSort,30001,0,0,1163770
10000,10,1,QuickSort,538556,231428,95722,3709575
10000,10,1,InsertionSort,17464899,5821633,0,12707936
10000,10,1,BubbleSort,123219244,49986354,5811634,72943714
10000,10,1,MergeSort,267232,115565,0,2394308
10000,10,2,CountingSort,30001,0,0,1175389
10000,10,2,QuickSort,534008,237533,92161,2918629
10000,10,2,InsertionSort,694022,231338,0,5818687
10000,10,2,BubbleSort,19000020,9057324,221343,15341570
10000,10,2,MergeSort,267232,72348,0,2134672
10000,10,3,CountingSort,30001,0,0,1187869
10000,10,3,QuickSort,532097,241268,90307,3118745
10000,10,3,InsertionSort,738081,246027,0,5984155
10000,10,3,BubbleSort,19384182,9220035,236028,15316652
10000,10,3,MergeSort,267232,72559,0,2140103
10000,10,4,CountingSort,30001,0,0,1172329
10000,10,4,QuickSort,525506,229361,92061,3360441
10000,10,4,InsertionSort,683217,227739,0,5945446
10000,10,4,BubbleSort,19220700,9174870,217740,15639405
10000,10,4,MergeSort,267232,72809,0,2430247
10000,20,1,CountingSort,30001,0,0,1136670
10000,20,1,QuickSort,555700,242479,97688,3488728
10000,20,1,InsertionSort,29798151,9932717,0,15939230
10000,20,1,BubbleSort,139662782,49985955,9922718,75198140
10000,20,1,MergeSort,267232,118331,0,2446727
10000,20,2,CountingSort,30001,0,0,1175279
10000,20,2,QuickSort,513751,225361,89456,3061936
10000,20,2,InsertionSort,2736210,912068,0,8153687
10000,20,2,BubbleSort,39382106,17886909,902072,25186918
10000,20,2,MergeSort,267232,76665,0,2533736
10000,20,3,CountingSort,30001,0,0,1496524
10000,20,3,QuickSort,570996,248835,100717,3948651
10000,20,3,InsertionSort,2814375,938125,0,8084158
10000,20,3,BubbleSort,38988524,17638010,928126,25263746
10000,20,3,MergeSort,267232,77153,0,2144523
10000,20,4,CountingSort,30001,0,0,1137570
10000,20,4,QuickSort,547847,237281,96816,3985650
10000,20,4,InsertionSort,2776878,925626,0,8387933
10000,20,4,BubbleSort,39131452,17734472,915627,25087179
10000,20,4,MergeSort,267232,77723,0,2121663
10000,30,1,CountingSort,30001,0,0,1170269
10000,30,1,QuickSort,511361,230684,86877,2490286
10000,30,1,InsertionSort,40298739,13432913,0,16756686
10000,30,1,BubbleSort,153522854,49915599,13422914,79615732
10000,30,1,MergeSort,267232,119299,0,2429667
10000,30,2,CountingSort,30001,0,0,1144760
10000,30,2,QuickSort,528107,234293,91261,3008258
10000,30,2,InsertionSort,6147454,2049148,0,15337501
10000,30,2,BubbleSort,58690560,25266972,2039154,33834716
10000,30,2,MergeSort,267232,81238,0,2180272
10000,30,3,CountingSort,30001,0,0,1166510
10000,30,3,QuickSort,539926,236206,94583,3692455
10000,30,3,InsertionSort,6192444,2064148,0,17240227
10000,30,3,BubbleSort,58637956,25210680,2054149,34157060
10000,30,3,MergeSort,267232,82451,0,2147653
10000,30,4,CountingSort,30001,0,0,1337207
10000,30,4,QuickSort,535347,234177,93693,3623457
10000,30,4,InsertionSort,6189927,2063309,0,15675026
10000,30,4,BubbleSort,58338458,25062609,2053310,35919622
10000,30,4,MergeSort,267232,83515,0,2195231
10000,40,1,CountingSort,30001,0,0,1150150
10000,40,1,QuickSort,488897,219785,83041,2926959
10000,40,1,InsertionSort,47950656,15983552,0,26746263
10000,40,1,BubbleSort,163814252,49960020,15973553,82277902
10000,40,1,MergeSort,267232,119774,0,2478896
10000,40,2,CountingSort,30001,0,0,1141590
10000,40,2,QuickSort,529406,231896,92484,4486551
10000,40,2,InsertionSort,10802672,3600886,0,16965813
10000,40,2,BubbleSort,78034874,31835649,3590894,43128096
10000,40,2,MergeSort,267232,86248,0,2228150
10000,40,3,CountingSort,30001,0,0,1169820
10000,40,3,QuickSort,523564,226858,92210,3281272
10000,40,3,InsertionSort,10872393,3624131,0,18826751
10000,40,3,BubbleSort,77898458,31720965,3614132,42730073
10000,40,3,MergeSort,267232,87358,0,2246981
10000,40,4,CountingSort,30001,0,0,1152880
10000,40,4,QuickSort,493748,217016,85574,2933778
10000,40,4,InsertionSort,10844841,3614947,0,16952084
10000,40,4,BubbleSort,78030800,31805504,3604948,44091239
10000,40,4,MergeSort,267232,88304,0,2237341
10000,50,1,CountingSort,30001,0,0,1170480
10000,50,1,QuickSort,528127,233503,91564,3075536
10000,50,1,InsertionSort,52599829,17533275,0,31153506
10000,50,1,BubbleSort,170044892,49975890,17523278,84313256
10000,50,1,MergeSort,267232,120244,0,2548615
10000,50,2,CountingSort,30001,0,0,1136100
10000,50,2,QuickSort,511819,222961,89648,3069087
10000,50,2,InsertionSort,17043280,5681090,0,20644749
10000,50,2,BubbleSort,96771374,37043495,5671096,55021879
10000,50,2,MergeSort,267232,92223,0,2271460
10000,50,3,CountingSort,30001,0,0,1158690
10000,50,3,QuickSort,543910,238351,95186,3117425
10000,50,3,InsertionSort,16564599,5521533,0,19352794
10000,50,3,BubbleSort,95673046,36813455,5511534,54316575
10000,50,3,MergeSort,267232,92237,0,2289981
10000,50,4,CountingSort,30001,0,0,1154260
10000,50,4,QuickSort,550524,245682,94984,2690493
10000,50,4,InsertionSort,16957422,5652474,0,20562242
10000,50,4,BubbleSort,97223778,37326939,5642475,54858335
10000,50,4,MergeSort,267232,92189,0,2300760
10000,60,1,CountingSort,30001,0,0,1223739
10000,60,1,QuickSort,508662,224130,88195,2909639
10000,60,1,InsertionSort,57444670,19148222,0,28486454
10000,60,1,BubbleSort,176526388,49986744,19138225,87414559
10000,60,1,MergeSort,267232,120231,0,2502796
10000,60,2,CountingSort,30001,0,0,1218429
10000,60,2,QuickSort,511490,230960,86879,2870240
10000,60,2,InsertionSort,24103803,8034601,0,20923056
10000,60,2,BubbleSort,114961226,41431409,8024602,62018130
10000,60,2,MergeSort,267232,96436,0,2319930
10000,60,3,CountingSort,30001,0,0,1188499
10000,60,3,QuickSort,513705,225186,89492,3110746
10000,60,3,InsertionSort,24456720,8152240,0,21117012
10000,60,3,BubbleSort,115924802,41677919,8142241,63774650
10000,60,3,MergeSort,267232,98733,0,2370619
10000,60,4,CountingSort,30001,0,0,1153290
10000,60,4,QuickSort,563892,250845,97682,3403471
10000,60,4,InsertionSort,24177894,8059298,0,21080763
10000,60,4,BubbleSort,115699536,41751170,8049299,63353657
10000,60,4,MergeSort,267232,101077,0,2458778
10000,70,1,CountingSort,30001,0,0,1155170
10000,70,1,QuickSort,499513,224968,84850,2861791
10000,70,1,InsertionSort,61058684,20352892,0,32496827
10000,70,1,BubbleSort,181350876,49989644,20342897,86076058
10000,70,1,MergeSort,267232,120362,0,2535346
10000,70,2,CountingSort,30001,0,0,1155730
10000,70,2,QuickSort,580279,259279,100311,3332562
10000,70,2,InsertionSort,32718595,10906193,0,24625383
10000,70,2,BubbleSort,133086926,44751059,10896202,69435496
10000,70,2,MergeSort,267232,101855,0,2383049
10000,70,3,CountingSort,30001,0,0,1196159
10000,70,3,QuickSort,532512,234351,92736,2831601
10000,70,3,InsertionSort,33025719,11008573,0,23722299
10000,70,3,BubbleSort,134209294,45107499,10998574,71685357
10000,70,3,MergeSort,267232,103845,0,2392439
10000,70,4,CountingSort,30001,0,0,1197039
10000,70,4,QuickSort,568809,250287,99489,4290305
10000,70,4,InsertionSort,33468240,11156080,0,24483325
10000,70,4,BubbleSort,135004582,45210129,11146081,70187813
10000,70,4,MergeSort,267232,105905,0,2435378
10000,80,1,CountingSort,30001,0,0,1149360
10000,80,1,QuickSort,516847,235426,87170,2843790
10000,80,1,InsertionSort,63762468,21254156,0,31898327
10000,80,1,BubbleSort,184963658,49993515,21244157,87118359
10000,80,1,MergeSort,267232,120318,0,2553386
10000,80,2,CountingSort,30001,0,0,1185759
10000,80,2,QuickSort,550741,241297,96492,3697076
10000,80,2,InsertionSort,43008334,14336110,0,29102676
10000,80,2,BubbleSort,152982600,47839074,14326113,76025422
10000,80,2,MergeSort,267232,107443,0,2486107
10000,80,3,CountingSort,30001,0,0,1222379
10000,80,3,QuickSort,578510,248372,103375,4520662
10000,80,3,InsertionSort,43674036,14558012,0,25300613
10000,80,3,BubbleSort,153907496,47857722,14548013,76481810
10000,80,3,MergeSort,267232,109546,0,2435959
10000,80,4,CountingSort,30001,0,0,1167350
10000,80,4,QuickSort,570299,256400,97977,4358305
10000,80,4,InsertionSort,43259601,14419867,0,26858746
10000,80,4,BubbleSort,152760830,47560679,14409868,76161845
10000,80,4,MergeSort,267232,111778,0,2469827
10000,90,1,CountingSort,30001,0,0,1155830
10000,90,1,QuickSort,564913,247177,99248,4174198
10000,90,1,InsertionSort,66292506,22097496,0,31874990
10000,90,1,BubbleSort,188331282,49990629,22087506,88456053
10000,90,1,MergeSort,267232,120463,0,2549016
10000,90,2,CountingSort,30001,0,0,1153671
10000,90,2,QuickSort,471844,213796,79355,2753823
10000,90,2,InsertionSort,54635352,18211778,0,27866709
10000,90,2,BubbleSort,171561720,49377284,18201788,84034579
10000,90,2,MergeSort,267232,113519,0,2496477
10000,90,3,CountingSort,30001,0,0,1190580
10000,90,3,QuickSort,577796,247451,103460,4507372
10000,90,3,InsertionSort,54748941,18249647,0,29987473
10000,90,3,BubbleSort,171265086,49153247,18239648,82547595
10000,90,3,MergeSort,267232,114999,0,2598796
10000,90,4,CountingSort,30001,0,0,1175520
10000,90,4,QuickSort,562022,248915,97691,3022868
10000,90,4,InsertionSort,54356757,18118919,0,28017347
10000,90,4,BubbleSort,171140858,49352589,18108920,83789170
10000,90,4,MergeSort,267232,116668,0,2518777
10000,100,1,CountingSort,30001,0,0,1168820
10000,100,1,QuickSort,540313,237502,94274,3112487
10000,100,1,InsertionSort,67511619,22503867,0,33568013
10000,100,1,BubbleSort,189934356,49979424,22493877,88251643
10000,100,1,MergeSort,267232,120433,0,2680604
10000,100,2,CountingSort,30001,0,0,1391066
10000,100,2,QuickSort,535585,240061,91827,3528549
10000,100,2,InsertionSort,67644223,22548073,0,37114592
10000,100,2,BubbleSort,190108998,49978347,22538076,88294912
10000,100,2,MergeSort,267232,120480,0,3946902
10000,100,3,CountingSort,30001,0,0,1151490
10000,100,3,QuickSort,466006,215899,76737,2836031
10000,100,3,InsertionSort,67642699,22547565,0,36533593
10000,100,3,BubbleSort,190134870,49992299,22537568,89545750
10000,100,3,MergeSort,267232,120355,0,2660484
10000,100,4,CountingSort,30001,0,0,1161100
10000,100,4,QuickSort,535926,238563,92466,3216635
10000,100,4,InsertionSort,67517075,22505689,0,30738362
10000,100,4,BubbleSort,189965804,49991514,22495694,88056826
10000,100,4,MergeSort,267232,120430,0,2571945
