taille,desordre,typeDesordre,algo,accesses,comparisons,swaps,timeNano
100000,0,1,CountingSort,300001,0,0,3611719
100000,0,1,QuickSort,6958633,3115651,1214334,26111720
100000,0,1,InsertionSort,299997,99999,0,5442273
100000,0,1,BubbleSort,199998,99999,0,4040748
100000,0,1,MergeSort,3337856,853904,0,14868484
100000,0,2,CountingSort,300001,0,0,3655969
100000,0,2,QuickSort,7209153,3221568,1262491,27455755
100000,0,2,InsertionSort,299997,99999,0,5603673
100000,0,2,BubbleSort,199998,99999,0,4090857
100000,0,2,MergeSort,3337856,853904,0,16148040
100000,0,3,CountingSort,300001,0,0,3598999
100000,0,3,QuickSort,6410764,2920345,1096820,15276402
100000,0,3,InsertionSort,299997,99999,0,5552593
100000,0,3,BubbleSort,199998,99999,0,5059964
100000,0,3,MergeSort,3337856,853904,0,15156513
100000,0,4,CountingSort,300001,0,0,3770138
100000,0,4,QuickSort,6305846,2851349,1084845,16363460
100000,0,4,InsertionSort,299997,99999,0,5564002
100000,0,4,BubbleSort,199998,99999,0,4120627
100000,0,4,MergeSort,3337856,853904,0,15877090
100000,10,1,CountingSort,300001,0,0,3485470
100000,10,1,QuickSort,6470981,3000173,1090267,23856378
100000,10,1,InsertionSort,1728336969,576112323,0,421875047
100000,10,1,BubbleSort,12302090164,4999020434,576012324,6989269189
100000,10,1,MergeSort,3337856,1485406,0,20602723
100000,10,2,CountingSort,300001,0,0,3712770
100000,10,2,QuickSort,6795453,3062325,1177769,28784412
100000,10,2,InsertionSort,67564206,22521400,0,28930491
100000,10,2,BubbleSort,1978691956,944503170,22421404,992468649
100000,10,2,MergeSort,3337856,903801,0,17899362
100000,10,3,CountingSort,300001,0,0,3781270
100000,10,3,QuickSort,6620530,3038395,1127499,24710334
100000,10,3,InsertionSort,67866066,22622022,0,24356385
100000,10,3,BubbleSort,1942308132,926110020,22522023,980686829
100000,10,3,MergeSort,3337856,906430,0,66866013
100000,10,4,CountingSort,300001,0,0,3682260
100000,10,4,QuickSort,6680422,2989270,1163803,17451334
100000,10,4,InsertionSort,68075274,22691758,0,27247118
100000,10,4,BubbleSort,1951611026,930621995,22591759,991713650
100000,10,4,MergeSort,3337856,909142,0,37659782
100000,20,1,CountingSort,300001,0,0,3884980
100000,20,1,QuickSort,6899669,3081530,1206191,18821032
100000,20,1,InsertionSort,3023275257,1007758419,0,734722763
100000,20,1,BubbleSort,14030472918,4999919619,1007658420,7975486117
100000,20,1,MergeSort,3337856,1512597,0,19214758
100000,20,2,CountingSort,300001,0,0,3648652
100000,20,2,QuickSort,7094155,3180724,1237843,16781833
100000,20,2,InsertionSort,273493205,91164399,0,76847890
100000,20,2,BubbleSort,3932358214,1784050299,91064404,1920360232
100000,20,2,MergeSort,3337856,963522,0,18363301
100000,20,3,CountingSort,300001,0,0,3660802
100000,20,3,QuickSort,6558570,3012474,1115455,15950416
100000,20,3,InsertionSort,268658838,89552946,0,74427264
100000,20,3,BubbleSort,3917408536,1779798374,89452947,1932838847
100000,20,3,MergeSort,3337856,969209,0,16153917
100000,20,4,CountingSort,300001,0,0,3652333
100000,20,4,QuickSort,6220447,2875303,1048376,27110926
100000,20,4,InsertionSort,272734071,90911357,0,74907951
100000,20,4,BubbleSort,3960665192,1798709880,90811358,2158181813
100000,20,4,MergeSort,3337856,974325,0,50421934
100000,30,1,CountingSort,300001,0,0,3813743
100000,30,1,QuickSort,6696359,3025949,1156717,19042393
100000,30,1,InsertionSort,3940065565,1313355187,0,925938533
100000,30,1,BubbleSort,15252806854,4999893047,1313255190,9466140934
100000,30,1,MergeSort,3337856,1523911,0,20876679
100000,30,2,CountingSort,300001,0,0,3767324
100000,30,2,QuickSort,6836536,3090691,1181863,17909703
100000,30,2,InsertionSort,612476797,204158931,0,152053951
100000,30,2,BubbleSort,5889569826,2536667045,204058934,2788476505
100000,30,2,MergeSort,3337856,1026921,0,19018574
100000,30,3,CountingSort,300001,0,0,3672695
100000,30,3,QuickSort,6367897,2910274,1085794,26251125
100000,30,3,InsertionSort,610453302,203484434,0,156350324
100000,30,3,BubbleSort,5877180918,2531821589,203384435,2826225261
100000,30,3,MergeSort,3337856,1038246,0,21468824
100000,30,4,CountingSort,300001,0,0,3723226
100000,30,4,QuickSort,6780213,3082815,1165794,23987791
100000,30,4,InsertionSort,613658892,204552964,0,157866822
100000,30,4,BubbleSort,5895777368,2538982754,204452965,3357937563
