taille,desordre,typeDesordre,algo,accesses,comparisons,swaps,timeNano
25000,0,1,CountingSort,75001,0,0,2599265
25000,0,1,QuickSort,1411165,631789,243100,7163017
25000,0,1,InsertionSort,74997,24999,0,2078175
25000,0,1,BubbleSort,49998,24999,0,1533244
25000,0,1,MergeSort,734464,188476,0,4982315
25000,0,2,CountingSort,75001,0,0,2737563
25000,0,2,QuickSort,1450279,648151,250704,6032237
25000,0,2,InsertionSort,74997,24999,0,2054635
25000,0,2,BubbleSort,49998,24999,0,1454535
25000,0,2,MergeSort,734464,188476,0,8448425
25000,0,3,CountingSort,75001,0,0,2906650
25000,0,3,QuickSort,1522700,670058,267503,7375354
25000,0,3,InsertionSort,74997,24999,0,1990276
25000,0,3,BubbleSort,49998,24999,0,1520864
25000,0,3,MergeSort,734464,188476,0,5800221
25000,0,4,CountingSort,75001,0,0,2647994
25000,0,4,QuickSort,1518754,680056,262953,6687295
25000,0,4,InsertionSort,74997,24999,0,2181173
25000,0,4,BubbleSort,49998,24999,0,1417366
25000,0,4,MergeSort,734464,188476,0,4923186
25000,10,1,CountingSort,75001,0,0,2762432
25000,10,1,QuickSort,1456117,648421,252603,6822724
25000,10,1,InsertionSort,108138027,36046009,0,40146303
25000,10,1,BubbleSort,768781838,312348899,36021010,416180075
25000,10,1,MergeSort,734464,320826,0,5318669
25000,10,2,CountingSort,75001,0,0,2591845
25000,10,2,QuickSort,1397693,639929,235898,5552395
25000,10,2,InsertionSort,4231671,1410555,0,14913125
25000,10,2,BubbleSort,122217666,58337715,1385559,65999720
25000,10,2,MergeSort,734464,198379,0,4778268
25000,10,3,CountingSort,75001,0,0,3161446
25000,10,3,QuickSort,1478070,651783,258755,6862053
25000,10,3,InsertionSort,4344258,1448086,0,13988801
25000,10,3,BubbleSort,121691188,57999420,1423087,66166942
25000,10,3,MergeSort,734464,199088,0,4742049
25000,10,4,CountingSort,75001,0,0,2775182
25000,10,4,QuickSort,1370717,622133,232836,5725142
