taille;desordre;typeDesordre;algo;acces;comparaisons;echanges;temps
100;0;2;InsertionSort;297;99;0;8590
100;0;2;InsertionSort;297;99;0;8060
100;0;2;InsertionSort;297;99;0;10740
100;0;2;InsertionSort;297;99;0;9260
100;0;2;InsertionSort;297;99;0;9900
100;0;2;InsertionSort;297;99;0;12811
100;0;2;InsertionSort;297;99;0;11360
100;0;2;InsertionSort;297;99;0;9210
100;0;2;InsertionSort;297;99;0;12861
100;0;2;InsertionSort;297;99;0;9740
100;0;2;InsertionSort;297;99;0;7720
100;0;2;InsertionSort;297;99;0;9790
100;0;2;InsertionSort;297;99;0;7760
100;0;2;InsertionSort;297;99;0;9780
100;0;2;InsertionSort;297;99;0;10050
100;0;2;InsertionSort;297;99;0;10240
100;0;2;InsertionSort;297;99;0;8970
100;0;2;InsertionSort;297;99;0;7620
100;0;2;InsertionSort;297;99;0;10390
100;0;2;InsertionSort;297;99;0;13920
100;0;2;InsertionSort;297;99;0;13060
100;0;2;InsertionSort;297;99;0;9350
100;0;2;InsertionSort;297;99;0;7880
100;0;2;InsertionSort;297;99;0;7970
100;0;2;InsertionSort;297;99;0;12830
100;0;2;InsertionSort;297;99;0;14270
100;0;2;InsertionSort;297;99;0;10670
100;0;2;InsertionSort;297;99;0;12251
100;0;2;InsertionSort;297;99;0;12650
100;0;2;InsertionSort;297;99;0;10520
100;0;2;InsertionSort;297;99;0;8090
100;0;2;InsertionSort;297;99;0;7870
100;0;2;InsertionSort;297;99;0;9850
100;0;2;InsertionSort;297;99;0;9500
100;0;2;InsertionSort;297;99;0;10680
100;0;2;InsertionSort;297;99;0;10620
100;0;2;InsertionSort;297;99;0;10650
100;0;2;InsertionSort;297;99;0;11500
100;0;2;InsertionSort;297;99;0;7770
100;0;2;InsertionSort;297;99;0;10430
100;0;2;InsertionSort;297;99;0;10300
100;0;2;InsertionSort;297;99;0;9740
100;0;2;InsertionSort;297;99;0;9480
100;0;2;InsertionSort;297;99;0;13130
100;0;2;InsertionSort;297;99;0;13050
100;0;2;InsertionSort;297;99;0;12860
100;0;2;InsertionSort;297;99;0;12810
100;0;2;InsertionSort;297;99;0;15060
100;0;2;InsertionSort;297;99;0;9560
100;0;2;InsertionSort;297;99;0;11560
100;0;2;InsertionSort;297;99;0;8460
100;0;2;InsertionSort;297;99;0;12880
100;0;2;InsertionSort;297;99;0;11450
100;0;2;InsertionSort;297;99;0;13341
100;0;2;InsertionSort;297;99;0;11290
100;0;2;InsertionSort;297;99;0;10400
100;0;2;InsertionSort;297;99;0;10440
100;0;2;InsertionSort;297;99;0;8900
100;0;2;InsertionSort;297;99;0;7970
100;0;2;InsertionSort;297;99;0;12830
100;0;2;InsertionSort;297;99;0;12200
100;0;2;InsertionSort;297;99;0;14040
100;0;2;InsertionSort;297;99;0;14400
100;0;2;InsertionSort;297;99;0;12970
100;0;2;InsertionSort;297;99;0;13970
100;0;2;InsertionSort;297;99;0;10320
100;0;2;InsertionSort;297;99;0;10410
100;0;2;InsertionSort;297;99;0;7810
100;0;2;InsertionSort;297;99;0;11970
100;0;2;InsertionSort;297;99;0;10160
100;0;2;InsertionSort;297;99;0;9070
100;0;2;InsertionSort;297;99;0;18340
100;0;2;InsertionSort;297;99;0;8900
100;0;2;InsertionSort;297;99;0;7850
100;0;2;InsertionSort;297;99;0;14080
100;0;3;InsertionSort;297;99;0;21830
100;0;3;InsertionSort;297;99;0;10290
100;0;3;InsertionSort;297;99;0;10130
100;0;3;InsertionSort;297;99;0;19250
100;0;3;InsertionSort;297;99;0;11000
100;0;3;InsertionSort;297;99;0;9540
100;0;3;InsertionSort;297;99;0;15300
100;0;3;InsertionSort;297;99;0;10160
100;0;3;InsertionSort;297;99;0;9650
100;0;3;InsertionSort;297;99;0;10360
100;0;3;InsertionSort;297;99;0;13120
100;0;3;InsertionSort;297;99;0;10930
100;0;3;InsertionSort;297;99;0;11050
100;0;3;InsertionSort;297;99;0;10190
100;0;3;InsertionSort;297;99;0;10810
100;0;3;InsertionSort;297;99;0;10690
100;0;3;InsertionSort;297;99;0;10860
100;0;3;InsertionSort;297;99;0;13260
100;0;3;InsertionSort;297;99;0;7640
100;0;3;InsertionSort;297;99;0;8780
100;0;3;InsertionSort;297;99;0;15990
100;0;3;InsertionSort;297;99;0;7980
